🕘️更新时间,#genre#
2025-05-20 02:36:51,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8

📺央视频道,#genre#
CCTV-1,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8
CCTV-1,http://qjrhc.jydjd.top:2911/udp/224.1.100.90:11111
CCTV-2,http://qjrhc.jydjd.top:2911/udp/224.1.100.94:11111
CCTV-4,http://119.32.12.17:2901/udp/224.1.100.104:11111
CCTV-4,http://qjrhc.jydjd.top:2911/udp/224.1.100.104:11111
CCTV-4,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8
CCTV-5,http://qjrhc.jydjd.top:2911/udp/224.1.100.82:11111
CCTV-5,https://ldcctvwbcdtxy.liveplay.myqcloud.com/ldcctvwbcd/cdrmldcctv5plus_1/index.m3u8?b=200-2100
CCTV-5,http://omnix.cn:4000/udp/225.1.8.89:8000
CCTV-5,http://1b6467f415.iok.la:9931/tsfile/live/1025_1.m3u8
CCTV-6,http://qjrhc.jydjd.top:2911/udp/224.1.100.84:11111
CCTV-7,http://qjrhc.jydjd.top:2911/udp/224.1.100.27:11111
CCTV-9,http://119.32.12.17:2901/udp/224.1.100.29:11111
CCTV-10,http://qjrhc.jydjd.top:2911/udp/224.1.100.76:11111
CCTV-11,http://119.32.12.17:2901/udp/224.1.100.44:11111
CCTV-12,http://119.32.12.17:2901/udp/224.1.100.78:11111
CCTV-15,http://qjrhc.jydjd.top:2911/udp/224.1.100.42:11111
CCTV-16,http://home.yulei.online:9999/rtp/226.0.2.169:9264
CETV1,http://player.cntv.cn/standard/live_HLSDRM20180524.swf?ChannelID=cetv2&videoTVChannel=cetv2&P2PChannelID=pd://cctv_p2p_hdcetv2&tai=cetv2&VideoName=cetv2&channelID=cetv2
CETV1,http://player.cntv.cn/standard/live_HLSDRM20180524.swf?ChannelID=cetv1&videoTVChannel=cetv1&P2PChannelID=pd://cctv_p2p_hdcetv1&tai=cetv1&VideoName=cetv1&channelID=cetv1
CETV1,http://player.cntv.cn/standard/live_HLSDRM20180524.swf?ChannelID=cetv4&videoTVChannel=cetv4&P2PChannelID=pd://cctv_p2p_hdcetv4&tai=cetv4&VideoName=cetv4&channelID=cetv4
CETV1,http://120.198.95.220:9901/tsfile/live/1039_1.m3u8?key=txiptv
CETV1,rtsp://115.153.254.81/PLTV/88888888/224/3221226858/63768493.smil
CETV1,rtsp://115.153.240.228:554/PLTV/88888888/224/3221226858/63768493.smil
CETV1,rtsp://115.153.212.72/PLTV/88888888/224/3221226858/63768493.smil
CETV1,rtsp://115.153.233.154/PLTV/88888888/224/3221226858/63768493.smil
CETV2,rtsp://115.153.254.81/PLTV/88888888/224/3221226978/85722625.smil
CETV2,rtsp://115.153.240.228:554/PLTV/88888888/224/3221226978/85722625.smil
CETV2,rtsp://115.153.212.72/PLTV/88888888/224/3221226978/85722625.smil
CETV2,rtsp://115.153.233.154/PLTV/88888888/224/3221226978/85722625.smil
CETV4,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001
CETV4,rtsp://116.176.26.18/PLTV/88888910/224/3221225594/10000100000000060000000000270887_0.smil
CETV4,rtsp://180.95.143.19/PLTV/88888910/224/3221225594/10000100000000060000000000270887_0.smil
CETV4,rtsp://115.85.232.19/PLTV/88888910/224/3221225594/10000100000000060000000000270887_0.smil
CETV4,rtsp://60.13.39.19/PLTV/88888910/224/3221225594/10000100000000060000000000270887_0.smil
CETV4,rtsp://60.13.23.179/PLTV/88888910/224/3221225594/10000100000000060000000000270887_0.smil
CETV4,rtsp://221.7.61.147/PLTV/88888910/224/3221225594/10000100000000060000000000270887_0.smil
CETV4,rtsp://116.176.26.19/PLTV/88888910/224/3221225594/10000100000000060000000000270887_0.smil
CETV4,rtsp://60.13.39.18/PLTV/88888910/224/3221225594/10000100000000060000000000270887_0.smil
CETV4,rtsp://115.153.254.81/PLTV/88888888/224/3221226905/65242632.smil

💰央视付费频道,#genre#
风云音乐,http://180.213.174.225:9901/tsfile/live/1055_1.m3u8?key=txiptv&playlive=1&authid=0
风云音乐,rtsp://115.153.245.70/PLTV/88888888/224/3221226994/86128897.smil
风云音乐,rtsp://115.153.247.80/PLTV/88888888/224/3221226994/86128897.smil
风云音乐,rtsp://115.153.222.112:554/PLTV/88888888/224/3221226994/86128897.smil
第一剧场,http://dassby.qqff.top:99/live/第一剧场/index.m3u8
第一剧场,rtsp://115.153.245.70/PLTV/88888888/224/3221226961/86128891.smil
第一剧场,rtsp://115.153.247.80/PLTV/88888888/224/3221226961/86128891.smil
第一剧场,rtsp://115.153.222.112:554/PLTV/88888888/224/3221226961/86128891.smil
第一剧场,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000410?AuthInfo=xxx&userid=gf001&userid=gf001
风云剧场,http://180.213.174.225:9901/tsfile/live/1050_1.m3u8?key=txiptv&playlive=1&authid=0
风云剧场,rtsp://115.153.245.70/PLTV/88888888/224/3221226963/86128874.smil
风云剧场,rtsp://115.153.247.80/PLTV/88888888/224/3221226963/86128874.smil
风云剧场,rtsp://115.153.222.112:554/PLTV/88888888/224/3221226963/86128874.smil
